{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
25
25
25
25
3
0
last event:  <Event(0-NoEvent {})>
         3366687 function calls (3361281 primitive calls) in 5.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       74    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
      537    0.001    0.000    0.001    0.000 abc.py:178(__instancecheck__)
        1    0.000    0.000    0.001    0.001 serializer.py:46(serialize)
     7140    0.001    0.000    0.001    0.000 inspect.py:320(<lambda>)
      422    0.001    0.000    0.001    0.000 __init__.py:2450(key)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      572    0.001    0.000    0.001    0.000 pyganim.py:234(isFinished)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3661(__init__)
        1    0.000    0.000    0.001    0.001 inventory.py:1(<module>)
      120    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
        1    0.000    0.000    0.001    0.001 sur.py:176(createMenu)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
      790    0.000    0.000    0.001    0.000 __init__.py:2174(_normalize_cached)
     3422    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:2228(EntryPoint)
      364    0.000    0.000    0.001    0.000 constructor.py:387(construct_yaml_str)
     11/1    0.000    0.000    0.001    0.001 serializer.py:78(serialize_node)
        5    0.000    0.000    0.001    0.000 enum.py:541(<dictcomp>)
      106    0.000    0.000    0.001    0.000 __init__.py:1566(_has)
     1561    0.001    0.000    0.001    0.000 sre_parse.py:153(__len__)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
